booking_id,user_id,event_id,event_time,booking_status
B0001,U001,E102,2026-03-26T20:06,Cancelled
B0002,U001,E201,2026-03-26T20:06,Cancelled
B0003,U001,E301,2026-03-26T20:06,Cancelled
B0004,U001,E201,2026-03-26T20:16,Cancelled
B0005,U001,E401,2026-03-26T20:17,Cancelled
B0006,U001,E102,2026-03-30T13:32,Cancelled
B0007,U001,E201,2026-03-30T13:33,Cancelled
B0008,U001,E301,2026-03-30T13:33,Cancelled
B0010,U001,E401,2026-03-30T13:34,Cancelled
B0012,U001,E501,2026-03-30T13:43,Cancelled
B0013,U001,E201,2026-03-30T13:45,Cancelled
B0014,U001,E301,2026-03-30T13:46,Cancelled
B0016,U001,E102,2026-03-30T14:09,Cancelled
B0017,U001,E201,2026-03-30T14:10,Confirmed
B0020,U001,E301,2026-03-30T14:10,Confirmed
B0021,U001,E102,2026-03-30T14:10,Confirmed
